"","State","County","fips","7_day_average_case_growth"
"1","Washington","Snohomish","53061",0.902214387636838
"2","Illinois","Cook","17031",0.625432837472857
"3","California","Orange","06059",0.849490199475324
"4","Arizona","Maricopa","04013",0.7323090589846
"5","California","Los Angeles","06037",1.16285666382877
"6","California","Santa Clara","06085",1.79341271138153
"7","Massachusetts","Suffolk","25025",0.331760302169381
"8","California","San Francisco","06075",1.44240569640901
"9","Wisconsin","Dane","55025",1.27187083357125
"10","California","San Diego","06073",1.277783582349
"11","Texas","Bexar","48029",0.463839648258318
"12","Nebraska","Douglas","31055",1.16981892475511
"13","California","Humboldt","06023",2.81442184372528
"14","California","Sacramento","06067",1.08497976018644
"15","California","Solano","06095",1.58063120553818
"16","Washington","Spokane","53063",1.39943063712517
"17","Utah","Salt Lake","49035",0.869650683935472
"18","California","Marin","06041",0.740937464421709
"19","California","Napa","06055",2.34745758419204
"20","California","Sonoma","06097",2.20617454537607
"21","Oregon","Washington","41067",1.30884929909901
"22","Washington","King","53033",0.965934850227529
"23","California","Alameda","06001",1.58014251348172
"24","Florida","Hillsborough","12057",1.24618142232828
"25","Florida","Manatee","12081",0.874839174022897
"26","California","Placer","06061",1.93898344593541
"27","California","San Mateo","06081",1.40272565028182
"28","Georgia","Fulton","13121",1.66838897706722
"29","Massachusetts","Norfolk","25021",0.405563032266845
"30","New Hampshire","Grafton","33009",0
"31","Washington","Walla Walla","53071",3.3360006757003
"32","California","Contra Costa","06013",2.09186738287181
"33","North Carolina","Wake","37183",1.18278611106828
"34","New Jersey","Bergen","34003",0.173307683757669
"35","New York","Westchester","36119",0.0816098918694516
"36","Texas","Fort Bend","48157",4.15244489066056
"37","Washington","Chelan","53007",2.09208846878347
"38","Colorado","Douglas","08035",0.874589576719437
"39","Colorado","Jefferson","08059",0.871272987291118
"40","Florida","Santa Rosa","12113",1.82354904478928
"41","Maryland","Montgomery","24031",0.473413695751185
"42","Massachusetts","Middlesex","25017",0.298558128859273
"43","Nevada","Clark","32003",1.78953013074377
"44","Nevada","Washoe","32031",1.206638888084
"45","New York","Nassau","36059",0.117447745970555
"46","Tennessee","Williamson","47187",1.2290971268375
"47","Texas","Harris","48201",1.75853336001751
"48","Arizona","Pinal","04021",0.352664677338592
"49","California","Yolo","06113",1.56288243171631
"50","Colorado","Denver","08031",0.69305044157751
"51","Colorado","Eagle","08037",1.05255774613026
"52","Colorado","El Paso","08041",1.42573587697575
"53","Florida","Broward","12011",1.17069132647693
"54","Florida","Lee","12071",0.78972296873663
"55","Georgia","Polk","13233",2.50068479096012
"56","Hawaii","Honolulu","15003",7.05648911932256
"57","Indiana","Marion","18097",1.06042291427469
"58","Kentucky","Fayette","21067",2.46274408689465
"59","Minnesota","Ramsey","27123",1.38035738783418
"60","New Jersey","Camden","34007",0.323840242807345
"61","New York","Rockland","36087",0.0575420496530344
"62","North Carolina","Chatham","37037",0.856380462497996
"63","Oklahoma","Tulsa","40143",2.09801028576866
"64","Pennsylvania","Delaware","42045",0.641448331049415
"65","Pennsylvania","Wayne","42127",0.181407723937757
"66","South Carolina","Charleston","45019",0.899493831419917
"67","South Carolina","Kershaw","45055",1.33358139953679
"68","Utah","Davis","49011",1.12768618185647
"69","Utah","Washington","49053",1.16465728586828
"70","Washington","Clark","53011",1.84400418795297
"71","Washington","Jefferson","53031",0.829765868611596
"72","Washington","Pierce","53053",1.73430623436527
"73","California","Fresno","06019",1.97569192059085
"74","California","Madera","06039",1.7818318277766
"75","California","Riverside","06065",1.20658775493997
"76","California","Santa Cruz","06087",1.03771358342652
"77","District of Columbia","District of Columbia","11001",0.516384012174704
"78","Florida","Charlotte","12015",1.5802314673623
"79","Florida","Okaloosa","12091",2.76265824574901
"80","Florida","Volusia","12127",1.60465385996238
"81","Georgia","Cobb","13067",2.22116711684373
"82","Georgia","Gwinnett","13135",1.58505524842121
"83","Kansas","Johnson","20091",1.71555774867166
"84","Massachusetts","Berkshire","25003",0.281822337581604
"85","Missouri","St. Louis","29189",1.55937132713728
"86","New Hampshire","Rockingham","33015",0.509773335446077
"87","New York","Saratoga","36091",0.561386885278746
"88","Oregon","Jackson","41029",3.19433183693106
"89","Oregon","Klamath","41035",0.508776715488266
"90","Pennsylvania","Montgomery","42091",0.380038061907884
"91","Vermont","Bennington","50003",0.170068027210884
"92","Virginia","Fairfax","51059",0.549362694003775
"93","Washington","Kittitas","53037",0.32736261217087
"94","Connecticut","Fairfield","09001",0.130461741077227
"95","Georgia","Cherokee","13057",2.85549282114021
"96","Indiana","Hendricks","18063",1.11891369105448
"97","Iowa","Johnson","19103",1.17635975128115
